State,Year,Income,Unemployment,Population_Density,AgeAdj_Rate,z_Income,z_Unemployment,z_Population_Density,z_AgeAdj_Rate
Oregon,2009.0,69110,11.3,13.760954657403776,10.2,-0.3112837592423036,2.8165678146347526,-0.2535612025793575,-0.3148477459743379
Oregon,2010.0,70260,10.6,15.408678029998404,11.0,-0.21671417944348761,2.4703332251924652,-0.25037958358432455,-0.14246513446509582
Oregon,2011.0,69390,9.5,15.408678029998404,10.4,-0.28825812242172233,1.9262502989260148,-0.25037958358432455,-0.2717520930970272
Oregon,2012.0,68410,8.8,15.408678029998404,10.5,-0.3688478512937568,1.5800157094837286,-0.25037958358432455,-0.25020426665837203
Oregon,2013.0,63960,7.9,15.408678029998404,10.9,-0.7347910079065665,1.1348569516293598,-0.25037958358432455,-0.164012960903751
Oregon,2014.0,75780,6.8,15.408678029998404,11.2,0.2372198035908291,0.590774025362909,-0.25037958358432455,-0.0993694815877855
Oregon,2015.0,78360,5.6,15.408678029998404,11.1,0.4493846000090423,-0.002770985109582556,-0.25037958358432455,-0.12091730802644067
Oregon,2016.0,75500,4.8,15.408678029998404,11.6,0.2141941667702478,-0.3984676587579101,-0.25037958358432455,-0.013178175833164456
Oregon,2017.0,78410,4.1,15.408678029998404,11.8,0.4534963208698604,-0.7447022482001969,-0.25037958358432455,0.029917477044146257
Oregon,2018.0,85070,4.2,15.408678029998404,11.3,1.0011775395308296,-0.6952401639941557,-0.25037958358432455,-0.07782165514912995
Oregon,2019.0,90190,3.7,15.408678029998404,12.2,1.4222177556786015,-0.9425505850243604,-0.25037958358432455,0.11610878279876692
Oregon,2020.0,92180,7.6,17.042352466874544,12.6,1.5858642459391612,0.9864706990112365,-0.24722509193450348,0.20230008855338796
Pennsylvania,2000.0,72110,4.1,105.97886351321404,10.0,-0.06458050759321844,-0.7447022482001969,-0.0754959670077786,-0.3579433988516482
Pennsylvania,2001.0,72730,4.8,105.97886351321404,9.4,-0.013595168919074176,-0.3984676587579101,-0.0754959670077786,-0.4872303574835796
Pennsylvania,2002.0,70190,5.6,105.97886351321404,9.9,-0.22247058864863295,-0.002770985109582556,-0.0754959670077786,-0.37949122529030344
Pennsylvania,2003.0,69460,5.7,105.97886351321404,9.8,-0.282501713216577,0.04669109909645866,-0.0754959670077786,-0.4010390517289586
Pennsylvania,2004.0,69610,5.4,105.97886351321404,10.1,-0.27016655063412276,-0.10169515352166411,-0.0754959670077786,-0.33639557241299306
Pennsylvania,2005.0,71020,5.0,105.97886351321404,10.7,-0.1542160223590527,-0.2995434903458281,-0.0754959670077786,-0.2071086137810617
Pennsylvania,2006.0,72260,4.6,105.97886351321404,10.8,-0.05224534501076419,-0.4973918271699921,-0.0754959670077786,-0.18556078734240616
Pennsylvania,2007.0,70400,4.4,105.97886351321404,10.4,-0.205201361033197,-0.5963159955820737,-0.0754959670077786,-0.2717520930970272
Pennsylvania,2008.0,72060,5.3,105.97886351321404,10.4,-0.06869222845403652,-0.15115723772770534,-0.0754959670077786,-0.2717520930970272
Pennsylvania,2009.0,67810,8.0,105.97886351321404,10.3,-0.41818850162357385,1.1843190358354005,-0.0754959670077786,-0.29329991953568235
Pennsylvania,2010.0,67090,8.5,109.6146707224084,10.1,-0.4773972820193543,1.4316294568656054,-0.06847552081429228,-0.33639557241299306
Pennsylvania,2011.0,67210,7.9,109.6146707224084,11.0,-0.4675291519533909,1.1348569516293598,-0.06847552081429228,-0.14246513446509582
Pennsylvania,2012.0,68580,7.8,109.6146707224084,11.0,-0.3548680003669753,1.0853948674233185,-0.06847552081429228,-0.14246513446509582
Pennsylvania,2013.0,72000,7.4,109.6146707224084,11.0,-0.07362629348701823,0.887546530599155,-0.06847552081429228,-0.14246513446509582
Pennsylvania,2014.0,71010,5.9,109.6146707224084,10.4,-0.15503836653121633,0.14561526750854065,-0.06847552081429228,-0.2717520930970272
Pennsylvania,2015.0,77780,5.3,109.6146707224084,11.3,0.40168863802355254,-0.15115723772770534,-0.06847552081429228,-0.07782165514912995
Pennsylvania,2016.0,77850,5.4,109.6146707224084,11.8,0.40744504722869784,-0.10169515352166411,-0.06847552081429228,0.029917477044146257
Pennsylvania,2017.0,76890,4.9,109.6146707224084,12.3,0.3285000067009906,-0.34900557455186887,-0.06847552081429228,0.13765660923742246
Pennsylvania,2018.0,79360,4.3,109.6146707224084,12.4,0.5316190172254041,-0.6457780797881149,-0.06847552081429228,0.15920443567607762
Pennsylvania,2019.0,85540,4.3,109.6146707224084,11.6,1.0398277156225195,-0.6457780797881149,-0.06847552081429228,-0.013178175833164456
Pennsylvania,2020.0,84910,8.8,112.20627876103048,13.4,0.9880200327762116,1.5800157094837286,-0.0634713377696736,0.37468270006263005
Rhode Island,2000.0,72150,4.1,391.4891903014281,5.1,-0.06129113090456397,-0.7447022482001969,0.4758011099748842,-1.4137868943457552
Rhode Island,2001.0,76450,4.6,391.4891903014281,4.3,0.2923168631257914,-0.4973918271699921,0.4758011099748842,-1.586169505854997
Rhode Island,2002.0,70050,5.0,391.4891903014281,5.1,-0.2339834070589236,-0.2995434903458281,0.4758011099748842,-1.4137868943457552
Rhode Island,2003.0,72330,5.3,391.4891903014281,3.1,-0.046488935805618865,-0.15115723772770534,0.4758011099748842,-1.84474342311886
Rhode Island,2004.0,75650,5.2,391.4891903014281,3.5,0.22652932935270206,-0.2006193219337461,0.4758011099748842,-1.7585521173642389
Rhode Island,2005.0,75900,5.0,391.4891903014281,3.6,0.2470879336567925,-0.2995434903458281,0.4758011099748842,-1.7370042909255838
Rhode Island,2006.0,80100,4.9,391.4891903014281,4.2,0.5924724859655117,-0.34900557455186887,0.4758011099748842,-1.6077173322936522
Rhode Island,2007.0,78790,5.2,391.4891903014281,3.4,0.48474539941207784,-0.2006193219337461,0.4758011099748842,-1.7800999438028942
Rhode Island,2008.0,74640,7.8,391.4891903014281,3.8,0.1434725679641767,1.0853948674233185,0.4758011099748842,-1.6939086380482733
Rhode Island,2009.0,72680,11.0,391.4891903014281,5.0,-0.017706889779892262,2.6681815620166294,0.4758011099748842,-1.4353347207844103
Rhode Island,2010.0,71680,11.2,393.0755834512236,4.6,-0.09994130699625399,2.7671057304287108,0.4788643053285021,-1.5215260265390314
Rhode Island,2011.0,66030,11.0,393.0755834512236,3.0,-0.5645657642686978,2.6681815620166294,0.4788643053285021,-1.8662912495575152
Rhode Island,2012.0,74070,10.4,393.0755834512236,4.0,0.09659895015085053,2.371409056780384,0.4788643053285021,-1.6508129851709628
Rhode Island,2013.0,73520,9.3,393.0755834512236,5.2,0.051370020681851584,1.8273261305139332,0.4788643053285021,-1.3922390679070997
Rhode Island,2014.0,75470,7.7,393.0755834512236,3.0,0.21172713425375694,1.0359327832172778,0.4788643053285021,-1.8662912495575152
Rhode Island,2015.0,71740,6.0,393.0755834512236,4.7,-0.09500724196327227,0.19507735171458143,0.4788643053285021,-1.499978200100376
Rhode Island,2016.0,78550,5.2,393.0755834512236,4.0,0.46500913928015103,-0.2006193219337461,0.4788643053285021,-1.6508129851709628
Rhode Island,2017.0,82060,4.4,393.0755834512236,3.9,0.7536519437095807,-0.5963159955820737,0.4788643053285021,-1.6723608116096178
Rhode Island,2018.0,76580,4.1,393.0755834512236,3.3,0.30300733736391844,-0.7447022482001969,0.4788643053285021,-1.8016477702415492
Rhode Island,2019.0,85020,3.5,393.0755834512236,4.6,0.9970658186700114,-1.0414747534364424,0.4788643053285021,-1.5215260265390314
Rhode Island,2020.0,96170,9.2,409.8103880248197,5.1,1.9139795706324445,1.7778640463078916,0.5111778435079571,-1.4137868943457552
South Carolina,2000.0,64240,3.8,51.52453312903884,12.2,-0.7117653710859851,-0.8930885008183197,-0.18064282284151734,0.11610878279876692
South Carolina,2001.0,63100,5.2,51.52453312903884,13.7,-0.8055126067126376,-0.2006193219337461,-0.18064282284151734,0.4393261793785955
South Carolina,2002.0,62450,5.8,51.52453312903884,13.8,-0.8589649779032726,0.09615318330249945,-0.18064282284151734,0.4608740058172511
South Carolina,2003.0,62250,6.9,51.52453312903884,14.1,-0.875411861346545,0.6402361095689502,-0.18064282284151734,0.5255174851332166
South Carolina,2004.0,61070,6.8,51.52453312903884,13.4,-0.9724484736618518,0.590774025362909,-0.18064282284151734,0.37468270006263005
South Carolina,2005.0,61710,6.7,51.52453312903884,13.7,-0.9198184466433803,0.5413119411568682,-0.18064282284151734,0.4393261793785955
South Carolina,2006.0,59050,6.4,51.52453312903884,13.8,-1.1385619964389024,0.39292568853874543,-0.18064282284151734,0.4608740058172511
South Carolina,2007.0,64260,5.7,51.52453312903884,13.0,-0.710120682741658,0.04669109909645866,-0.18064282284151734,0.288491394308009
South Carolina,2008.0,59100,6.8,51.52453312903884,13.2,-1.1344502755780845,0.590774025362909,-0.18064282284151734,0.33158704718531934
South Carolina,2009.0,57850,11.2,51.52453312903884,13.5,-1.2372432970985365,2.7671057304287108,-0.18064282284151734,0.3962305265012852
South Carolina,2010.0,57900,11.2,59.40154731637483,13.8,-1.2331315762377184,2.7671057304287108,-0.1654329530421299,0.4608740058172511
South Carolina,2011.0,53980,10.6,59.40154731637483,14.7,-1.5554904917258565,2.4703332251924652,-0.1654329530421299,0.6548044437651479
South Carolina,2012.0,58660,9.2,59.40154731637483,15.2,-1.1706334191532837,1.7778640463078916,-0.1654329530421299,0.7625435759584241
South Carolina,2013.0,56870,7.6,59.40154731637483,14.9,-1.317833025970571,0.9864706990112365,-0.1654329530421299,0.6979000966424587
South Carolina,2014.0,57830,6.5,59.40154731637483,15.4,-1.2388879854428638,0.4423877727447862,-0.1654329530421299,0.8056392288357349
South Carolina,2015.0,59710,6.0,59.40154731637483,17.2,-1.0842872810761037,0.19507735171458143,-0.1654329530421299,1.193500104731529
South Carolina,2016.0,69370,5.0,59.40154731637483,17.6,-0.28990281076604957,-0.2995434903458281,-0.1654329530421299,1.2796914104861503
South Carolina,2017.0,68430,4.3,59.40154731637483,17.6,-0.36720316294942956,-0.6457780797881149,-0.1654329530421299,1.2796914104861503
South Carolina,2018.0,70650,3.4,59.40154731637483,17.5,-0.18464275672910654,-1.0909368376424835,-0.1654329530421299,1.2581435840474948
South Carolina,2019.0,75180,2.8,59.40154731637483,19.7,0.18787915326101204,-1.3877093428787293,-0.1654329530421299,1.7321957656979101
South Carolina,2020.0,72380,6.0,65.73371627029047,21.9,-0.042377214944800776,0.19507735171458143,-0.15320605296981293,2.2062479473483254
South Dakota,2000.0,62370,2.5,3.844533871016689,7.5,-0.8655437312805816,-1.536095595496852,-0.27270899963161804,-0.8966390598180293
South Dakota,2001.0,66330,3.1,3.844533871016689,7.1,-0.5398954391037892,-1.2393230902606063,-0.27270899963161804,-0.9828303655726504
South Dakota,2002.0,62550,3.2,3.844533871016689,7.9,-0.8507415361816365,-1.1898610060545651,-0.27270899963161804,-0.8104477540634082
South Dakota,2003.0,63940,3.5,3.844533871016689,9.2,-0.7364356962508937,-1.0414747534364424,-0.27270899963161804,-0.5303260103608903
South Dakota,2004.0,64880,3.7,3.844533871016689,9.9,-0.6591353440675137,-0.9425505850243604,-0.27270899963161804,-0.37949122529030344
South Dakota,2005.0,66190,3.8,3.844533871016689,10.2,-0.5514082575140798,-0.8930885008183197,-0.27270899963161804,-0.3148477459743379
South Dakota,2006.0,67710,3.1,3.844533871016689,9.7,-0.42641194334521004,-1.2393230902606063,-0.27270899963161804,-0.42258687816761414
South Dakota,2007.0,67460,2.8,3.844533871016689,6.1,-0.44697054764930044,-1.3877093428787293,-0.27270899963161804,-1.1983086299592027
South Dakota,2008.0,72340,3.1,3.844533871016689,10.6,-0.045666591633455246,-1.2393230902606063,-0.27270899963161804,-0.22865644021971687
South Dakota,2009.0,64500,4.9,3.844533871016689,9.4,-0.6903844226097311,-0.34900557455186887,-0.27270899963161804,-0.4872303574835796
South Dakota,2010.0,62970,5.0,4.146741031397704,9.0,-0.8162030809507645,-0.2995434903458281,-0.2721254623353126,-0.5734216632382007
South Dakota,2011.0,63600,4.7,4.146741031397704,7.9,-0.7643953981044567,-0.4479297429639509,-0.2721254623353126,-0.8104477540634082
South Dakota,2012.0,65290,4.3,4.146741031397704,9.5,-0.6254192330088054,-0.6457780797881149,-0.2721254623353126,-0.46568253104492446
South Dakota,2013.0,69720,3.8,4.146741031397704,9.5,-0.261120764740323,-0.8930885008183197,-0.2721254623353126,-0.46568253104492446
South Dakota,2014.0,68280,3.4,4.146741031397704,9.9,-0.3795383255318838,-1.0909368376424835,-0.2721254623353126,-0.37949122529030344
South Dakota,2015.0,70930,3.1,4.146741031397704,10.8,-0.1616171199085253,-1.2393230902606063,-0.2721254623353126,-0.18556078734240616
South Dakota,2016.0,73350,3.0,4.146741031397704,12.7,0.03739016975507009,-1.2887851744666472,-0.2721254623353126,0.22384791499204312
South Dakota,2017.0,71410,3.2,4.146741031397704,11.4,-0.12214459964467164,-1.1898610060545651,-0.2721254623353126,-0.05627382871047479
South Dakota,2018.0,73130,3.0,4.146741031397704,13.2,0.01929859796747051,-1.2887851744666472,-0.2721254623353126,0.33158704718531934
South Dakota,2019.0,77870,2.7,4.146741031397704,12.8,0.4090897355730251,-1.43717142708477,-0.2721254623353126,0.24539574143069867
South Dakota,2020.0,84190,4.1,4.515928210084143,13.4,0.9288112523804312,-0.7447022482001969,-0.2714125921048067,0.37468270006263005
Tennessee,2000.0,58300,3.9,53.28453720654666,15.6,-1.2002378093511739,-0.8436264166122787,-0.17724439899351635,0.8487348817130452
Tennessee,2001.0,59830,4.6,53.28453720654666,14.5,-1.0744191510101404,-0.4973918271699921,-0.17724439899351635,0.6117087908878376
Tennessee,2002.0,61160,5.2,53.28453720654666,15.4,-0.9650473761123793,-0.2006193219337461,-0.17724439899351635,0.8056392288357349
